n;cover time
750;43463257
800;12492243
800;29216129
800;57554203
800;16277625
800;33678949
800;282003
800;31547228
700;128892269
700;158812036
800;98353226
750;156059915
700;126558864
750;93306228
800;61283815
750;62431335
800;6460266
750;63601936
800;34936836
800;41218694
750;75470105
750;106217616
750;122734702
750;78885030
750;222398187
800;10974663
800;8836706
750;94748701
750;81157046
800;45367068
800;20064920
800;12741959
800;35942241
750;133525973
800;38345076
800;6791437
800;64390324
800;43720733
800;49367396
750;94990093
750;107632365
800;47468909
750;100211051
750;85750460
800;40284717
800;32107094
800;56363951
800;51278971
800;11044912
800;20307598
800;5620768
800;1187505
800;24244919
750;144846467
800;14710559
800;85730960
800;137924420
800;6471027
750;115354656
800;24747690
800;59013754
800;46131824
750;152308168
800;92385769
750;134828005
800;67284199
800;26471053
700;195354623
800;94031057
800;25093580
800;112658935
850;11084708
800;32811473
800;25275047
800;22478116
750;123074200
800;21440163
750;136886658
850;23204145
800;92040216
800;127035710
800;233687459
850;33291915
800;54913510
800;49926770
800;23712551
800;153707653
800;160889232
800;88781132
800;72575165
850;26662030
800;140473257
800;94508399
800;113840467
800;69512824
850;44825779
800;110714600
850;11261228
800;95544326
750;131139009
800;43906710
800;52985797
750;134296142
800;114414021
850;63290727
850;70728371
850;115374
800;69224664
850;24691765
800;65070845
800;64923562
800;123852370
850;53376650
800;102308096
800;138074687
800;61632764
850;69471781
850;47982442
850;10165085
800;64344643
850;14777269
850;43521718
800;64975036
800;135426059
850;14726148
850;59468725
850;108805648
850;109859709
850;50482894
850;22175095
850;86173359
800;109283669
850;126386259
800;220591358
850;23671374
850;22862982
850;10606465
850;122893807
850;92017033
850;59336964
850;66238474
850;109334978
850;33222716
850;143700470
850;10859998
850;96980192
850;83993317
800;180188416
850;31357328
850;6161338
850;10153883
800;165235968
850;24033205
850;126259395
850;28089687
750;234906417
850;18104693
850;49621198
850;54469627
850;160670041
900;512700
850;72692152
850;11166229
850;80212478
850;9261742
850;34159972
800;189347174
850;99060174
850;20628800
850;85855575
850;32893494
800;330282668
850;30959985
900;14004746
800;246565122
850;54447631
850;97851080
850;60468643
850;151765937
850;188558913
850;92523220
850;24983931
900;54213221
750;278561907
850;177820008
