n	czas	liczbaPorównań
1000	14009	1000000
1000	14205	1000000
1000	14101	1000000
1000	14469	1000000
1000	13889	1000000
1000	14121	1000000
1000	14259	1000000
1000	13841	1000000
1000	14657	1000000
1000	14264	1000000
1000	14938	1000000
1000	14238	1000000
1000	15319	1000000
1000	14203	1000000
1000	14409	1000000
1000	14487	1000000
1000	14538	1000000
1000	19613	1000000
1000	15573	1000000
1000	14905	1000000
1000	15407	1000000
1000	15131	1000000
1000	14633	1000000
1000	16101	1000000
1000	17359	1000000
1000	15737	1000000
1000	14437	1000000
1000	14453	1000000
1000	15773	1000000
1000	14216	1000000
1000	17469	1000000
1000	15455	1000000
1000	14530	1000000
1000	14941	1000000
1000	14119	1000000
1000	15453	1000000
1000	13543	1000000
1000	14919	1000000
1000	15140	1000000
1000	17461	1000000
1000	14191	1000000
1000	16894	1000000
1000	15156	1000000
1000	14823	1000000
1000	14498	1000000
1000	14341	1000000
1000	15825	1000000
1000	14734	1000000
1000	18766	1000000
1000	15255	1000000
1000	13896	1000000
1000	14560	1000000
1000	14272	1000000
1000	16303	1000000
1000	14702	1000000
1000	13971	1000000
1000	13954	1000000
1000	15480	1000000
1000	14947	1000000
1000	14064	1000000
1000	14188	1000000
1000	15065	1000000
1000	14540	1000000
1000	14818	1000000
1000	14960	1000000
1000	14218	1000000
1000	14125	1000000
1000	13960	1000000
1000	13956	1000000
1000	14455	1000000
1000	13878	1000000
1000	14765	1000000
1000	15083	1000000
1000	14888	1000000
1000	14298	1000000
1000	14862	1000000
1000	14518	1000000
1000	14425	1000000
1000	14171	1000000
1000	14130	1000000
1000	14002	1000000
1000	13868	1000000
1000	14336	1000000
1000	13903	1000000
1000	14678	1000000
1000	13908	1000000
1000	14171	1000000
1000	14976	1000000
1000	14236	1000000
1000	15269	1000000
1000	13877	1000000
1000	13933	1000000
1000	15700	1000000
1000	13959	1000000
1000	14569	1000000
1000	14890	1000000
1000	14079	1000000
1000	14647	1000000
1000	15465	1000000
1000	13849	1000000
1000	14044	1000000
1000	14132	1000000
1000	14550	1000000
1000	14569	1000000
1000	14031	1000000
1000	14290	1000000
1000	14530	1000000
1000	14316	1000000
1000	13724	1000000
1000	14469	1000000
1000	13978	1000000
1000	14244	1000000
1000	14506	1000000
1000	14659	1000000
1000	13998	1000000
1000	14642	1000000
1000	15037	1000000
1000	14456	1000000
1000	14455	1000000
1000	14131	1000000
1000	15049	1000000
1000	14818	1000000
1000	14139	1000000
1000	14066	1000000
1000	14268	1000000
1000	14891	1000000
1000	14497	1000000
1000	14263	1000000
1000	14178	1000000
1000	13887	1000000
1000	13937	1000000
1000	15071	1000000
1000	14190	1000000
1000	13938	1000000
1000	15148	1000000
1000	14358	1000000
1000	14001	1000000
1000	14221	1000000
1000	14111	1000000
1000	14733	1000000
1000	14366	1000000
1000	14450	1000000
1000	14940	1000000
1000	13636	1000000
1000	14126	1000000
1000	14130	1000000
1000	14099	1000000
1000	14329	1000000
1000	14360	1000000
1000	13936	1000000
1000	14108	1000000
1000	14283	1000000
1000	14239	1000000
1000	14262	1000000
1000	14431	1000000
1000	14067	1000000
1000	14051	1000000
1000	14556	1000000
1000	14543	1000000
1000	14060	1000000
1000	13978	1000000
1000	14127	1000000
1000	13771	1000000
1000	14126	1000000
1000	13935	1000000
1000	13968	1000000
1000	15179	1000000
1000	14840	1000000
1000	14045	1000000
1000	14018	1000000
1000	14402	1000000
1000	15200	1000000
1000	15328	1000000
1000	14509	1000000
1000	14659	1000000
1000	14202	1000000
1000	14164	1000000
1000	14208	1000000
1000	14350	1000000
1000	14112	1000000
1000	14009	1000000
1000	14386	1000000
1000	14564	1000000
1000	14221	1000000
1000	13958	1000000
1000	13881	1000000
1000	14166	1000000
1000	14493	1000000
1000	14917	1000000
1000	13839	1000000
1000	14283	1000000
1000	14745	1000000
1000	14256	1000000
1000	13818	1000000
1000	13963	1000000
1000	13933	1000000
1000	14013	1000000
1000	13892	1000000
1000	13906	1000000
1000	14271	1000000
1000	14030	1000000
1000	13874	1000000
1000	13936	1000000
1000	14325	1000000
1000	14262	1000000
1000	14336	1000000
1000	14501	1000000
1000	14804	1000000
1000	14507	1000000
1000	14068	1000000
1000	14055	1000000
1000	15308	1000000
1000	14306	1000000
1000	14217	1000000
1000	15199	1000000
1000	14396	1000000
1000	14921	1000000
1000	15175	1000000
1000	15118	1000000
1000	13757	1000000
1000	14163	1000000
1000	13842	1000000
1000	14308	1000000
1000	13850	1000000
1000	13806	1000000
1000	14045	1000000
1000	14773	1000000
1000	15268	1000000
1000	14630	1000000
1000	14308	1000000
1000	14711	1000000
1000	13816	1000000
1000	14288	1000000
1000	14454	1000000
1000	14233	1000000
1000	14110	1000000
1000	14739	1000000
1000	15511	1000000
1000	14231	1000000
1000	14242	1000000
1000	15161	1000000
1000	14506	1000000
1000	15302	1000000
1000	13945	1000000
1000	14298	1000000
1000	14205	1000000
1000	15776	1000000
1000	14045	1000000
1000	14274	1000000
1000	14673	1000000
1000	14360	1000000
1000	13872	1000000
1000	14484	1000000
1000	15035	1000000
1000	14402	1000000
1000	14248	1000000
1000	13937	1000000
1000	14867	1000000
1000	14161	1000000
1000	14410	1000000
1000	13856	1000000
1000	14933	1000000
1000	14515	1000000
1000	14007	1000000
1000	13743	1000000
1000	14092	1000000
1000	13859	1000000
1000	15000	1000000
1000	15238	1000000
1000	14062	1000000
1000	14805	1000000
1000	15610	1000000
1000	15309	1000000
1000	14049	1000000
1000	13934	1000000
1000	13956	1000000
1000	13930	1000000
1000	13899	1000000
1000	13941	1000000
1000	14081	1000000
1000	15519	1000000
1000	14841	1000000
1000	13967	1000000
1000	14577	1000000
1000	15233	1000000
1000	14266	1000000
1000	14470	1000000
1000	14433	1000000
1000	14280	1000000
1000	14094	1000000
1000	13743	1000000
1000	14361	1000000
1000	14256	1000000
1000	14028	1000000
1000	13672	1000000
1000	14539	1000000
1000	13745	1000000
1000	14182	1000000
1000	14214	1000000
1000	14756	1000000
1000	14004	1000000
1000	14347	1000000
1000	14488	1000000
1000	14133	1000000
1000	15526	1000000
1000	14690	1000000
1000	14471	1000000
1000	14722	1000000
1000	14230	1000000
1000	15255	1000000
1000	14110	1000000
1000	14755	1000000
1000	14413	1000000
1000	14030	1000000
1000	14164	1000000
1000	13916	1000000
1000	14266	1000000
1000	14591	1000000
1000	15162	1000000
1000	13968	1000000
1000	13840	1000000
1000	14442	1000000
1000	14902	1000000
1000	14944	1000000
1000	14307	1000000
1000	14963	1000000
1000	13420	1000000
1000	14088	1000000
1000	13922	1000000
1000	14195	1000000
1000	14787	1000000
1000	14828	1000000
1000	15055	1000000
1000	14162	1000000
1000	14097	1000000
1000	14780	1000000
1000	14006	1000000
1000	14244	1000000
1000	14251	1000000
1000	14177	1000000
1000	15157	1000000
1000	14245	1000000
1000	15515	1000000
1000	14277	1000000
1000	14600	1000000
1000	13112	1000000
1000	14163	1000000
1000	14957	1000000
1000	13799	1000000
1000	14906	1000000
1000	15364	1000000
1000	13786	1000000
1000	14146	1000000
1000	14280	1000000
1000	13945	1000000
1000	13958	1000000
1000	14159	1000000
1000	14593	1000000
1000	13764	1000000
1000	14305	1000000
1000	13671	1000000
1000	14703	1000000
1000	14115	1000000
1000	14155	1000000
1000	13652	1000000
1000	13969	1000000
1000	13761	1000000
1000	14054	1000000
1000	13863	1000000
1000	13754	1000000
1000	13960	1000000
1000	15080	1000000
1000	14082	1000000
1000	13840	1000000
1000	14164	1000000
1000	13761	1000000
1000	14571	1000000
1000	14849	1000000
1000	15581	1000000
1000	14021	1000000
1000	14034	1000000
1000	14108	1000000
1000	14635	1000000
1000	14134	1000000
1000	14880	1000000
1000	14180	1000000
1000	13738	1000000
1000	13893	1000000
1000	14417	1000000
1000	13993	1000000
1000	13693	1000000
1000	14672	1000000
1000	13623	1000000
1000	14683	1000000
1000	14290	1000000
1000	13925	1000000
1000	15251	1000000
1000	14674	1000000
1000	13898	1000000
1000	14156	1000000
1000	13593	1000000
1000	13818	1000000
1000	15640	1000000
1000	14081	1000000
1000	14518	1000000
1000	14400	1000000
