n;Bn;Un;Ln;Cn;Dn;Dn-Cn
5000;92;1809;6;43940;62501;18561
5000;60;1853;6;41634;62810;21176
5000;106;1820;7;37882;61946;24064
5000;158;1867;6;42117;53804;11687
5000;32;1842;7;48367;51157;2790
5000;151;1835;6;57909;61640;3731
5000;84;1820;7;39328;57288;17960
5000;111;1811;6;47973;56471;8498
5000;161;1823;7;51370;68217;16847
5000;113;1829;6;46794;66741;19947
5000;56;1875;7;48190;59708;11518
5000;202;1832;7;52319;56614;4295
5000;53;1806;6;40134;78736;38602
5000;34;1842;6;56104;59519;3415
5000;22;1841;6;45122;56729;11607
5000;168;1849;7;48519;59737;11218
5000;111;1838;7;45117;49014;3897
5000;69;1830;6;40024;61519;21495
5000;88;1849;6;53822;61113;7291
5000;28;1818;6;42130;52827;10697
5000;49;1863;6;61221;63315;2094
5000;52;1854;7;44290;71318;27028
5000;92;1840;6;61356;61778;422
5000;47;1804;7;47475;56734;9259
5000;147;1859;7;42689;52646;9957
5000;124;1853;6;48428;52367;3939
5000;82;1847;6;43991;53764;9773
5000;93;1848;7;50882;70136;19254
5000;56;1839;8;46888;55739;8851
5000;153;1850;6;43445;64810;21365
5000;37;1848;6;43987;45592;1605
5000;98;1829;7;44510;53625;9115
5000;58;1840;6;38298;49330;11032
5000;217;1808;6;45978;63440;17462
5000;89;1818;6;44149;66263;22114
5000;137;1820;6;40473;53192;12719
5000;96;1793;6;47803;59517;11714
5000;42;1835;5;50312;65559;15247
5000;70;1814;7;44016;50972;6956
5000;57;1864;6;39579;63604;24025
5000;36;1835;7;39007;71700;32693
5000;152;1831;6;43565;60337;16772
5000;113;1837;5;57963;58744;781
5000;146;1875;7;45268;50749;5481
5000;96;1802;6;40570;54135;13565
5000;169;1884;6;36570;50291;13721
5000;123;1813;6;57418;63638;6220
5000;64;1876;6;72974;73275;301
6000;81;2216;9;50507;60695;10188
6000;161;2214;6;59952;72506;12554
6000;70;2188;6;57445;64405;6960
6000;76;2256;6;46199;65633;19434
6000;87;2193;6;63727;73727;10000
6000;101;2221;6;73377;78018;4641
6000;10;2181;7;52228;67640;15412
6000;160;2175;6;49743;61729;11986
6000;140;2226;8;52026;80781;28755
6000;60;2183;7;53326;67389;14063
6000;28;2196;6;45893;85163;39270
6000;50;2178;6;54778;64167;9389
6000;75;2222;7;57408;66416;9008
6000;116;2202;7;63649;65527;1878
6000;133;2174;8;63306;73568;10262
6000;78;2166;7;56607;65019;8412
6000;186;2203;8;44328;69728;25400
6000;43;2173;6;57447;68074;10627
6000;172;2193;6;51679;62317;10638
6000;110;2209;6;51484;77896;26412
